                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                 1.3306,                 1.9645,                0.96368,                 1.6277,                0.79844,                0.60667,                0.69553,                 0.4289,                  0.788,                0.59778,                0.68269,                0.38965,                 1.4526,                 2.1093,                 1.1274,                 1.7976,              0.0012971,              0.0012971,              0.0012971
                     74,                 1.3308,                 1.9288,                0.98975,                 1.6224,                0.74056,                0.58667,                0.64718,                0.37251,                0.72881,                0.54943,                0.61344,                0.33395,                 1.5755,                 2.1875,                 1.3223,                 1.9137,              0.0012872,              0.0012872,              0.0012872
                     75,                 1.3536,                 1.9329,                 1.0012,                  1.664,                0.79166,                0.55111,                0.65922,                 0.3993,                0.79741,                0.55104,                 0.6472,                0.34962,                 1.5063,                 2.1491,                 1.2394,                 1.8814,              0.0012773,              0.0012773,              0.0012773
                     76,                 1.3437,                 1.8908,                0.98956,                 1.6213,                0.66808,                0.62444,                0.66816,                0.38844,                  0.668,                0.61256,                0.65306,                0.35772,                 1.4889,                 2.1336,                 1.2823,                 1.8149,              0.0012674,              0.0012674,              0.0012674
                     77,                  1.261,                 1.8619,                0.95654,                 1.5714,                0.79859,                0.59333,                0.71055,                0.44215,                 0.8291,                0.59111,                 0.7053,                0.39587,                 1.4065,                 2.0684,                 1.0718,                 1.7912,              0.0012575,              0.0012575,              0.0012575
                     78,                 1.2805,                 1.8448,                0.95596,                  1.607,                0.72899,                0.65111,                0.70603,                   0.43,                0.75154,                0.63556,                0.70215,                0.37414,                 1.4371,                 2.1194,                 1.1609,                 1.7954,              0.0012476,              0.0012476,              0.0012476
                     79,                 1.3032,                 1.9053,                0.95783,                 1.5895,                0.74992,                0.62641,                0.70375,                0.41491,                0.77944,                0.59556,                 0.6932,                0.37636,                   1.48,                 2.0731,                 1.1596,                 1.8535,              0.0012377,              0.0012377,              0.0012377
                     80,                 1.3083,                  1.836,                0.96568,                 1.5818,                0.67765,                0.56058,                0.63356,                0.37987,                0.68392,                0.54444,                0.61823,                0.32949,                 1.4895,                 2.2046,                 1.2795,                 1.8422,              0.0012278,              0.0012278,              0.0012278
                     81,                 1.2518,                 1.8223,                0.95076,                 1.5602,                0.75596,                0.62444,                0.70155,                 0.4179,                0.77143,                0.59111,                0.68151,                0.35914,                 1.4294,                 2.1303,                 1.1192,                 1.7712,              0.0012179,              0.0012179,              0.0012179
                     82,                 1.2819,                 1.8348,                0.92133,                 1.5733,                0.74473,                0.57778,                0.67507,                0.39216,                0.80324,                0.55111,                0.67387,                0.35687,                 1.4988,                 2.1504,                  1.213,                 1.8523,               0.001208,               0.001208,               0.001208
